process_execution_id,order_id,start_time,end_time,part_id,process_type,process_id,resource_id,is_valid
78,304,2025-02-20 11:04:35,2025-02-20 11:04:55,4,0,10,3,1
79,304,2025-02-20 11:04:55,2025-02-20 11:05:38,5,0,11,3,1
80,304,2025-02-20 11:05:38,2025-02-20 11:06:21,5,0,11,3,1
81,297,2025-02-20 11:05:47,2025-02-20 11:06:04,6,0,16,5,1
82,297,2025-02-20 11:06:04,2025-02-20 11:06:29,7,1,17,6,1
83,304,2025-02-20 11:06:21,2025-02-20 11:07:06,3,1,12,4,1
84,297,2025-02-20 11:06:29,2025-02-20 11:07:03,8,1,18,6,1
85,297,2025-02-20 11:07:03,2025-02-20 11:08:05,3,1,19,6,1
86,304,2025-02-20 11:07:06,2025-02-20 11:07:15,4,1,13,4,1
87,304,2025-02-20 11:07:15,2025-02-20 11:07:45,1,0,14,5,1
88,304,2025-02-20 11:07:45,2025-02-20 11:09:06,1,0,15,5,1
89,297,2025-02-20 11:08:05,2025-02-20 11:08:10,4,1,20,6,1
90,297,2025-02-20 11:08:10,2025-02-20 11:08:18,-1,-1,21,7,1
91,297,2025-02-20 11:08:18,2025-02-20 11:08:28,-1,2,22,8,1
92,297,2025-02-20 11:08:28,2025-02-20 11:08:47,0,0,23,0,1
93,313,2025-02-20 11:08:47,2025-02-20 11:09:02,0,0,0,0,1
94,313,2025-02-20 11:09:02,2025-02-20 11:09:42,1,0,1,1,1
95,304,2025-02-20 11:09:06,2025-02-20 11:09:23,6,0,16,5,1
96,304,2025-02-20 11:09:23,2025-02-20 11:09:40,6,0,16,5,1
97,304,2025-02-20 11:09:40,2025-02-20 11:10:05,7,1,17,6,1
98,313,2025-02-20 11:09:42,2025-02-20 11:10:38,2,0,2,1,1
99,304,2025-02-20 11:10:05,2025-02-20 11:10:39,8,1,18,6,1
100,313,2025-02-20 11:10:38,2025-02-20 11:10:52,2,0,3,1,1
101,304,2025-02-20 11:10:39,2025-02-20 11:11:41,3,1,19,6,1
102,313,2025-02-20 11:10:52,2025-02-20 11:11:35,2,0,4,1,1
103,304,2025-02-20 11:11:41,2025-02-20 11:11:46,4,1,20,6,1
104,304,2025-02-20 11:11:46,2025-02-20 11:11:54,-1,-1,21,7,1
105,311,2025-02-20 11:11:54,2025-02-20 11:12:09,0,0,0,0,1
106,311,2025-02-20 11:12:09,2025-02-20 11:12:49,1,0,1,1,1
107,313,2025-02-20 11:12:50,2025-02-20 11:13:47,2,0,5,1,1
108,311,2025-02-20 11:13:47,2025-02-20 11:14:43,2,0,2,1,1
109,313,2025-02-20 11:14:43,2025-02-20 11:15:21,2,0,6,1,1
110,313,2025-02-20 11:15:21,2025-02-20 11:15:23,3,1,7,2,1
111,311,2025-02-20 11:15:22,2025-02-20 11:15:36,2,0,3,1,1
112,313,2025-02-20 11:15:23,2025-02-20 11:15:55,1,0,8,3,1
113,311,2025-02-20 11:15:36,2025-02-20 11:16:19,2,0,4,1,1
114,313,2025-02-20 11:15:55,2025-02-20 11:16:56,3,0,9,3,1
115,311,2025-02-20 11:16:19,2025-02-20 11:17:16,2,0,5,1,1
116,313,2025-02-20 11:16:56,2025-02-20 11:17:16,4,0,10,3,1
117,311,2025-02-20 11:17:16,2025-02-20 11:17:54,2,0,6,1,1
118,313,2025-02-20 11:17:16,2025-02-20 11:17:59,5,0,11,3,1
119,311,2025-02-20 11:17:54,2025-02-20 11:17:56,3,1,7,2,1
120,311,2025-02-20 11:17:59,2025-02-20 11:18:31,1,0,8,3,1
121,313,2025-02-20 11:17:59,2025-02-20 11:18:44,3,1,12,4,1
122,311,2025-02-20 11:18:31,2025-02-20 11:19:32,3,0,9,3,1
123,313,2025-02-20 11:18:44,2025-02-20 11:18:53,4,1,13,4,1
124,313,2025-02-20 11:18:53,2025-02-20 11:19:23,1,0,14,5,1
125,313,2025-02-20 11:19:23,2025-02-20 11:20:44,1,0,15,5,1
126,311,2025-02-20 11:19:32,2025-02-20 11:19:52,4,0,10,3,1
127,311,2025-02-20 11:19:52,2025-02-20 11:20:35,5,0,11,3,1
128,311,2025-02-20 11:20:35,2025-02-20 11:21:20,3,1,12,4,1
129,313,2025-02-20 11:20:44,2025-02-20 11:21:01,6,0,16,5,1
130,313,2025-02-20 11:21:01,2025-02-20 11:21:26,7,1,17,6,1
131,311,2025-02-20 11:21:20,2025-02-20 11:21:29,4,1,13,4,1
132,313,2025-02-20 11:21:26,2025-02-20 11:22:00,8,1,18,6,1
133,311,2025-02-20 11:21:29,2025-02-20 11:21:59,1,0,14,5,1
134,311,2025-02-20 11:21:59,2025-02-20 11:23:20,1,0,15,5,1
135,313,2025-02-20 11:22:00,2025-02-20 11:23:02,3,1,19,6,1
136,313,2025-02-20 11:23:02,2025-02-20 11:23:07,4,1,20,6,1
137,313,2025-02-20 11:23:07,2025-02-20 11:23:15,-1,-1,21,7,1
138,313,2025-02-20 11:23:15,2025-02-20 11:23:25,-1,2,22,8,1
139,311,2025-02-20 11:23:20,2025-02-20 11:23:37,6,0,16,5,1
140,313,2025-02-20 11:23:25,2025-02-20 11:23:44,0,0,23,0,1
141,311,2025-02-20 11:23:37,2025-02-20 11:24:02,7,1,17,6,1
142,320,2025-02-20 11:23:44,2025-02-20 11:23:59,0,0,0,0,1
143,320,2025-02-20 11:23:59,2025-02-20 11:24:31,1,0,8,3,1
144,311,2025-02-20 11:24:02,2025-02-20 11:24:36,8,1,18,6,1
145,320,2025-02-20 11:24:31,2025-02-20 11:25:09,2,0,6,1,1
146,311,2025-02-20 11:24:36,2025-02-20 11:25:38,3,1,19,6,1
147,320,2025-02-20 11:25:09,2025-02-20 11:25:52,5,0,11,3,1
148,311,2025-02-20 11:25:38,2025-02-20 11:25:43,4,1,20,6,1
149,311,2025-02-20 11:25:43,2025-02-20 11:25:51,-1,-1,21,7,1
150,311,2025-02-20 11:25:51,2025-02-20 11:26:01,-1,2,22,8,1
151,311,2025-02-20 11:26:01,2025-02-20 11:26:20,0,0,23,0,1
152,301,2025-02-20 11:26:20,2025-02-20 11:26:35,0,0,0,0,1
153,320,2025-02-20 11:26:35,2025-02-20 11:26:54,0,0,23,0,1
154,301,2025-02-20 11:26:35,2025-02-20 11:27:15,1,0,1,1,1
155,320,2025-02-20 11:26:54,2025-02-20 11:27:11,6,0,16,5,1
156,301,2025-02-20 11:27:15,2025-02-20 11:28:11,2,0,2,1,1
157,320,2025-02-20 11:28:11,2025-02-20 11:28:51,1,0,1,1,1
158,310,2025-02-20 11:28:51,2025-02-20 11:29:06,0,0,0,0,1
159,301,2025-02-20 11:28:52,2025-02-20 11:29:06,2,0,3,1,1
160,301,2025-02-20 11:29:06,2025-02-20 11:29:49,2,0,4,1,1
161,310,2025-02-20 11:29:06,2025-02-20 11:29:25,0,0,23,0,1
162,301,2025-02-20 11:29:49,2025-02-20 11:30:46,2,0,5,1,1
163,310,2025-02-20 11:30:46,2025-02-20 11:31:24,2,0,6,1,1
164,310,2025-02-20 11:31:24,2025-02-20 11:31:33,4,1,13,4,1
165,301,2025-02-20 11:31:25,2025-02-20 11:32:03,2,0,6,1,1
166,310,2025-02-20 11:31:33,2025-02-20 11:32:05,1,0,8,3,1
167,301,2025-02-20 11:32:03,2025-02-20 11:32:05,3,1,7,2,1
168,301,2025-02-20 11:32:05,2025-02-20 11:32:37,1,0,8,3,1
169,310,2025-02-20 11:32:05,2025-02-20 11:32:35,1,0,14,5,1
170,310,2025-02-20 11:32:35,2025-02-20 11:33:15,1,0,1,1,1
171,301,2025-02-20 11:32:37,2025-02-20 11:33:38,3,0,9,3,1
172,310,2025-02-20 11:33:15,2025-02-20 11:33:53,2,0,6,1,1
173,301,2025-02-20 11:33:38,2025-02-20 11:33:58,4,0,10,3,1
174,301,2025-02-20 11:33:58,2025-02-20 11:34:41,5,0,11,3,1
175,310,2025-02-20 11:34:41,2025-02-20 11:35:13,1,0,8,3,1
176,301,2025-02-20 11:34:41,2025-02-20 11:35:26,3,1,12,4,1
