permutation_stat,observed_stat,p_value
0.4991621011923944,1.0,0.0
0.5457138253303254,1.0,0.0
0.5412826297131808,1.0,0.0
0.47856912665162743,1.0,0.0
0.5409120206252016,1.0,0.0
0.5017885916854656,1.0,0.0
0.5459233000322269,1.0,0.0
0.5253303254914597,1.0,0.0
0.5261682242990653,1.0,0.0
0.45881405091846594,1.0,0.0
0.5324202384788913,1.0,0.0
0.4934418304866259,1.0,0.0
0.5083145343216242,1.0,0.0
0.46687077022236545,1.0,0.0
0.45668707702223654,1.0,0.0
0.5149210441508217,1.0,0.0
0.4825008056719303,1.0,0.0
0.46319690621978726,1.0,0.0
0.547115694489204,1.0,0.0
0.4848694811472768,1.0,0.0
0.5211086045762164,1.0,0.0
0.4799226554946826,1.0,0.0
0.48480502739284564,1.0,0.0
0.5180470512407348,1.0,0.0
0.44784079922655495,1.0,0.0
0.4727844021914276,1.0,0.0
0.5028520786335804,1.0,0.0
0.47204318401546885,1.0,0.0
0.4973896229455365,1.0,0.0
0.4840799226554947,1.0,0.0
0.5220915243312922,1.0,0.0
0.4946503383822108,1.0,0.0
0.4919271672574927,1.0,0.0
0.482291330970029,1.0,0.0
0.5191588785046728,1.0,0.0
0.4865613922010957,1.0,0.0
0.5023847889139543,1.0,0.0
0.5150338382210764,1.0,0.0
0.49958105059619723,1.0,0.0
0.5340960360941025,1.0,0.0
0.5109249113760876,1.0,0.0
0.5334837254270061,1.0,0.0
0.4770544634224943,1.0,0.0
0.5731388978407992,1.0,0.0
0.48891395423783435,1.0,0.0
0.4944408636803093,1.0,0.0
0.4744279729294232,1.0,0.0
0.5145504350628425,1.0,0.0
0.455204640670319,1.0,0.0
0.5034805027392846,1.0,0.0
0.47818240412504026,1.0,0.0
0.5092330003222687,1.0,0.0
0.5001772478246858,1.0,0.0
0.49060586529165323,1.0,0.0
0.5169513374154043,1.0,0.0
0.43385433451498545,1.0,0.0
0.46223009990331937,1.0,0.0
0.5097325169191106,1.0,0.0
0.4852078633580406,1.0,0.0
0.4855945858846277,1.0,0.0
0.5224943602964873,1.0,0.0
0.487818240412504,1.0,0.0
0.471398646471157,1.0,0.0
0.5133580406058653,1.0,0.0
0.5185143409603609,1.0,0.0
0.5181276184337736,1.0,0.0
0.5006928778601354,1.0,0.0
0.5573638414437642,1.0,0.0
0.5135352884305511,1.0,0.0
0.5330647760232033,1.0,0.0
0.49315178859168546,1.0,0.0
0.4859490815339993,1.0,0.0
0.4427489526264905,1.0,0.0
0.49133097002900417,1.0,0.0
0.5419916210119239,1.0,0.0
0.45541411537222043,1.0,0.0
0.5252980986142444,1.0,0.0
0.49419916210119236,1.0,0.0
0.49690621978730254,1.0,0.0
0.5389622945536576,1.0,0.0
0.47740895907186587,1.0,0.0
0.5056880438285529,1.0,0.0
0.4896390589751852,1.0,0.0
0.5202545923300032,1.0,0.0
0.509700290041895,1.0,0.0
0.46554946825652593,1.0,0.0
0.509458588462778,1.0,0.0
0.4532710280373832,1.0,0.0
0.5262487914921045,1.0,0.0
0.4616016757976152,1.0,0.0
0.4786496938446664,1.0,0.0
0.5265710602642603,1.0,0.0
0.5242346116661296,1.0,0.0
0.5285852400902353,1.0,0.0
0.5356429262004511,1.0,0.0
0.5207218820496293,1.0,0.0
0.5274089590718658,1.0,0.0
0.5187238156622623,1.0,0.0
0.5057524975829842,1.0,0.0
0.5087334837254269,1.0,0.0
